COUNTRY,DATE,CPI_VALUE,EXCHANGE_RATE,INTEREST_RATE,CPI_lag_1,CPI_lag_3,CPI_lag_6,CPI_roll_3,ER_lag_1,ER_lag_3,ER_lag_6,ER_roll_3,IR_lag_1,IR_lag_3,IR_lag_6,IR_roll_3
Philippines,2016-07-01,92.42944785276076,47.0581,3.0,92.25907099035936,91.74794040315514,91.66275197195444,91.97510955302369,46.4644545454546,46.2845238095238,47.5111,46.517088023088036,3.0,4.0,4.0,3.6666666666666665
Philippines,2016-08-01,92.42944785276076,46.6808636363636,3.0,92.42944785276076,91.91831726555654,91.49237510955304,92.20227870289222,47.0581,46.8022857142857,47.6361052631579,46.77494675324677,3.0,4.0,4.0,3.3333333333333335
Philippines,2016-09-01,92.59982471516216,47.429380952381,3.0,92.42944785276076,92.25907099035936,91.49237510955304,92.37265556529361,46.6808636363636,46.4644545454546,46.7239523809524,46.73447272727273,3.0,3.0,4.0,3.0
Philippines,2016-10-01,92.77020157756355,48.3482,3.0,92.59982471516216,92.42944785276076,91.74794040315514,92.48624014022789,47.429380952381,47.0581,46.2845238095238,47.05611486291486,3.0,3.0,4.0,3.0
Philippines,2016-11-01,93.28133216476776,49.155,3.0,92.77020157756355,92.42944785276076,91.91831726555654,92.59982471516214,48.3482,46.6808636363636,46.8022857142857,47.4861481962482,3.0,3.0,4.0,3.0
Philippines,2016-12-01,93.62208588957056,49.8156,3.0,93.28133216476776,92.59982471516216,92.25907099035936,92.88378615249782,49.155,47.429380952381,46.4644545454546,48.31086031746033,3.0,3.0,3.0,3.0
Philippines,2017-01-01,93.96283961437337,49.7362857142857,3.0,93.62208588957056,92.77020157756355,92.42944785276076,93.22453987730061,49.8156,48.3482,47.0581,49.10626666666667,3.0,3.0,3.0,3.0
Philippines,2017-02-01,94.30359333917616,49.9614,3.0,93.96283961437337,93.28133216476776,92.42944785276076,93.62208588957056,49.7362857142857,49.155,46.6808636363636,49.5689619047619,3.0,3.0,3.0,3.0
Philippines,2017-03-01,94.30359333917616,50.2751739130435,3.0,94.30359333917616,93.62208588957056,92.59982471516216,93.96283961437337,49.9614,49.8156,47.429380952381,49.8377619047619,3.0,3.0,3.0,3.0
Philippines,2017-04-01,94.64434706397898,49.8626470588235,3.0,94.30359333917616,93.96283961437337,92.77020157756355,94.1900087642419,50.2751739130435,49.7362857142857,48.3482,49.99095320910973,3.0,3.0,3.0,3.0
Philippines,2017-05-01,94.55915863277828,49.8603181818182,3.0,94.64434706397898,94.30359333917616,93.28133216476776,94.41717791411043,49.8626470588235,49.9614,49.155,50.033073657289,3.0,3.0,3.0,3.0
Philippines,2017-06-01,94.55915863277828,49.8501,3.0,94.55915863277828,94.30359333917616,93.62208588957056,94.50236634531115,49.8603181818182,50.2751739130435,49.8156,49.99937971789507,3.0,3.0,3.0,3.0
Philippines,2017-07-01,94.64434706397898,50.6381904761905,3.0,94.55915863277828,94.64434706397898,93.96283961437337,94.58755477651185,49.8501,49.8626470588235,49.7362857142857,49.85768841354724,3.0,3.0,3.0,3.0
Philippines,2017-08-01,94.81472392638038,50.8747142857143,3.0,94.64434706397898,94.55915863277828,94.30359333917616,94.58755477651185,50.6381904761905,49.8603181818182,49.9614,50.116202886002895,3.0,3.0,3.0,3.0
Philippines,2017-09-01,95.41104294478528,51.0094210526316,3.0,94.81472392638038,94.55915863277828,94.30359333917616,94.67274320771254,50.8747142857143,49.8501,50.2751739130435,50.45433492063493,3.0,3.0,3.0,3.0
Philippines,2017-10-01,95.6666082383874,51.3433,3.0,95.41104294478528,94.64434706397898,94.64434706397898,94.95670464504822,51.0094210526316,50.6381904761905,49.8626470588235,50.840775271512136,3.0,3.0,3.0,3.0
Philippines,2017-11-01,96.0925503943909,51.03835,3.0,95.6666082383874,94.81472392638038,94.55915863277828,95.29745836985103,51.3433,50.8747142857143,49.8603181818182,51.075811779448635,3.0,3.0,3.0,3.0
Philippines,2017-12-01,96.348115687993,50.3947368421053,3.0,96.0925503943909,95.41104294478528,94.55915863277828,95.72340052585452,51.03835,51.0094210526316,49.8501,51.130357017543865,3.0,3.0,3.0,3.0
Philippines,2018-01-01,97.2,50.5086666666667,3.0,96.348115687993,95.6666082383874,94.64434706397898,96.03575810692377,50.3947368421053,51.3433,50.6381904761905,50.925462280701765,3.0,3.0,3.0,3.0
Philippines,2018-02-01,97.9,51.7856315789474,3.0,97.2,96.0925503943909,94.81472392638038,96.54688869412797,50.5086666666667,51.03835,50.8747142857143,50.64725116959067,3.0,3.0,3.0,3.0
Philippines,2018-03-01,98.4,52.0676,3.0,97.9,96.348115687993,95.41104294478528,97.14937189599766,51.7856315789474,50.3947368421053,51.0094210526316,50.8963450292398,3.0,3.0,3.0,3.0
Philippines,2018-04-01,98.8,52.0986,3.0,98.4,97.2,95.6666082383874,97.83333333333333,52.0676,50.5086666666667,51.3433,51.453966081871364,3.0,3.0,3.0,3.0
Philippines,2018-05-01,99.0,52.1948095238095,3.25,98.8,97.9,96.0925503943909,98.36666666666667,52.0986,51.7856315789474,51.03835,51.98394385964914,3.0,3.0,3.0,3.0
Philippines,2018-06-01,99.4,53.0476315789474,3.5,99.0,98.4,96.348115687993,98.73333333333333,52.1948095238095,52.0676,50.3947368421053,52.12033650793651,3.25,3.0,3.0,3.0833333333333335
Philippines,2018-07-01,100.2,53.4329090909091,3.5,99.4,98.8,97.2,99.06666666666668,53.0476315789474,52.0986,50.5086666666667,52.447013700918966,3.5,3.0,3.0,3.25
Philippines,2018-08-01,101.1,53.2735238095238,4.0,100.2,99.0,97.9,99.53333333333335,53.4329090909091,52.1948095238095,51.7856315789474,52.891783397888666,3.5,3.25,3.0,3.4166666666666665
Philippines,2018-09-01,102.1,53.9419,4.5,101.1,99.4,98.4,100.23333333333333,53.2735238095238,53.0476315789474,52.0676,53.2513548264601,4.0,3.5,3.0,3.6666666666666665
Philippines,2018-10-01,102.3,54.0085652173913,4.5,102.1,100.2,98.8,101.13333333333333,53.9419,53.4329090909091,52.0986,53.5494443001443,4.5,3.5,3.0,4.0
Philippines,2018-11-01,102.0,52.8082631578947,4.75,102.3,101.1,99.0,101.83333333333333,54.0085652173913,53.2735238095238,52.1948095238095,53.74132967563836,4.5,4.0,3.25,4.333333333333333
Philippines,2018-12-01,101.4,52.7690588235294,4.75,102.0,102.1,99.4,102.13333333333333,52.8082631578947,53.9419,53.0476315789474,53.586242791762004,4.75,4.5,3.5,4.583333333333333
Philippines,2019-01-01,101.5,52.4679090909091,4.75,101.4,102.3,100.2,101.90000000000002,52.7690588235294,54.0085652173913,53.4329090909091,53.19529573293846,4.75,4.5,3.5,4.666666666666667
Philippines,2019-02-01,101.6,52.1900555555556,4.75,101.5,102.0,101.1,101.63333333333333,52.4679090909091,52.8082631578947,53.2735238095238,52.68174369077773,4.75,4.75,4.0,4.75
Philippines,2019-03-01,101.7,52.4134286,4.75,101.6,101.4,102.1,101.5,52.1900555555556,52.7690588235294,53.9419,52.475674489998035,4.75,4.75,4.5,4.75
Philippines,2019-04-01,102.0,52.1122222222222,4.75,101.7,101.5,102.3,101.60000000000001,52.4134286,52.4679090909091,54.0085652173913,52.3571310821549,4.75,4.75,4.5,4.75
Philippines,2019-05-01,102.2,52.262,4.5,102.0,101.6,102.0,101.76666666666667,52.1122222222222,52.1900555555556,52.8082631578947,52.238568792592595,4.75,4.75,4.75,4.75
Philippines,2019-06-01,102.1,51.8029444444444,4.5,102.2,101.7,101.4,101.96666666666665,52.262,52.4134286,52.7690588235294,52.262550274074066,4.5,4.75,4.75,4.666666666666667
Philippines,2019-07-01,102.4,51.1428695652174,4.5,102.1,102.0,101.5,102.10000000000001,51.8029444444444,52.1122222222222,52.4679090909091,52.05905555555554,4.5,4.75,4.75,4.583333333333333
Philippines,2019-08-01,102.5,52.0547368421053,4.25,102.4,102.2,101.6,102.23333333333335,51.1428695652174,52.262,52.1900555555556,51.7359380032206,4.5,4.5,4.75,4.5
Philippines,2019-09-01,102.6,52.1051904761905,4.0,102.5,102.1,101.7,102.33333333333333,52.0547368421053,51.8029444444444,52.4134286,51.66685028392237,4.25,4.5,4.75,4.416666666666667
Philippines,2019-10-01,102.9,51.5041739130435,4.0,102.6,102.4,102.0,102.5,52.1051904761905,51.1428695652174,52.1122222222222,51.76759896117107,4.0,4.5,4.75,4.25
Philippines,2019-11-01,103.2,50.72675,4.0,102.9,102.5,102.2,102.66666666666667,51.5041739130435,52.0547368421053,52.262,51.888033743779765,4.0,4.25,4.5,4.083333333333333
Philippines,2019-12-01,103.8,50.7671111111111,4.0,103.2,102.6,102.1,102.89999999999999,50.72675,52.1051904761905,51.8029444444444,51.445371463078004,4.0,4.0,4.5,4.0
Philippines,2020-01-01,104.5,50.8385714285714,4.0,103.8,102.9,102.4,103.3,50.7671111111111,51.5041739130435,51.1428695652174,50.999345008051534,4.0,4.0,4.5,4.0
Philippines,2020-02-01,104.1,50.7447894736842,3.75,104.5,103.2,102.5,103.83333333333333,50.8385714285714,50.72675,52.0547368421053,50.7774775132275,4.0,4.0,4.25,4.0
Philippines,2020-03-01,103.9,50.9035714285714,3.25,104.1,103.8,102.6,104.13333333333333,50.7447894736842,50.7671111111111,52.1051904761905,50.78349067112223,3.75,4.0,4.0,3.9166666666666665
Philippines,2020-04-01,103.8,50.7349,2.75,103.9,104.5,102.9,104.16666666666667,50.9035714285714,50.8385714285714,51.5041739130435,50.828977443609006,3.25,4.0,4.0,3.6666666666666665
Philippines,2020-05-01,103.8,50.5555789473684,2.75,103.8,104.1,103.2,103.93333333333334,50.7349,50.7447894736842,50.72675,50.79442030075186,2.75,3.75,4.0,3.25
Philippines,2020-06-01,104.4,50.0972380952381,2.25,103.8,103.9,103.8,103.83333333333333,50.5555789473684,50.9035714285714,50.7671111111111,50.73135012531327,2.75,3.25,4.0,2.9166666666666665
Philippines,2020-07-01,104.9,49.4675454545455,2.25,104.4,103.8,104.5,104.0,50.0972380952381,50.7349,50.8385714285714,50.462572347535506,2.25,2.75,4.0,2.5833333333333335
Philippines,2020-08-01,104.8,48.8433157894737,2.25,104.9,103.8,104.1,104.36666666666667,49.4675454545455,50.5555789473684,50.7447894736842,50.040120832384,2.25,2.75,3.75,2.4166666666666665
Philippines,2020-09-01,104.9,48.5056818181818,2.25,104.8,104.4,103.9,104.7,48.8433157894737,50.0972380952381,50.9035714285714,49.46936644641911,2.25,2.25,3.25,2.25
Philippines,2020-10-01,105.3,48.4821818181818,2.25,104.9,104.9,103.8,104.86666666666667,48.5056818181818,49.4675454545455,50.7349,48.93884768740033,2.25,2.25,2.75,2.25
Philippines,2020-11-01,106.3,48.2520555555556,2.0,105.3,104.8,103.8,105.0,48.4821818181818,48.8433157894737,50.5555789473684,48.610393141945764,2.25,2.25,2.75,2.25
Philippines,2020-12-01,107.2,48.0637222222222,2.0,106.3,104.9,104.4,105.5,48.2520555555556,48.5056818181818,50.0972380952381,48.4133063973064,2.0,2.25,2.25,2.1666666666666665
Philippines,2021-01-01,108.4,48.0614,2.0,107.2,105.3,104.9,106.26666666666667,48.0637222222222,48.4821818181818,49.4675454545455,48.26598653198653,2.0,2.25,2.25,2.0833333333333335
Philippines,2021-02-01,108.5,48.2041666666667,2.0,108.4,106.3,104.8,107.3,48.0614,48.2520555555556,48.8433157894737,48.125725925925934,2.0,2.0,2.25,2.0
Philippines,2021-03-01,108.2,48.5743043478261,2.0,108.5,107.2,104.9,108.03333333333335,48.2041666666667,48.0637222222222,48.5056818181818,48.10976296296297,2.0,2.0,2.25,2.0
Philippines,2021-04-01,108.1,48.462,2.0,108.2,108.4,105.3,108.36666666666667,48.5743043478261,48.0614,48.4821818181818,48.27995700483094,2.0,2.0,2.25,2.0
Philippines,2021-05-01,108.1,47.95515,2.0,108.1,108.5,106.3,108.26666666666667,48.462,48.2041666666667,48.2520555555556,48.41349033816427,2.0,2.0,2.0,2.0
Philippines,2021-06-01,108.3,48.1247272727273,2.0,108.1,108.2,107.2,108.13333333333333,47.95515,48.5743043478261,48.0637222222222,48.3304847826087,2.0,2.0,2.0,2.0
Philippines,2021-07-01,108.8,49.9429523809524,2.0,108.3,108.1,108.4,108.16666666666667,48.1247272727273,48.462,48.0614,48.18062575757577,2.0,2.0,2.0,2.0
Philippines,2021-08-01,109.4,50.2343333333333,2.0,108.8,108.1,108.5,108.39999999999999,49.9429523809524,47.95515,48.2041666666667,48.67427655122657,2.0,2.0,2.0,2.0
Philippines,2021-09-01,109.3,50.1421363636364,2.0,109.4,108.3,108.2,108.83333333333333,50.2343333333333,48.1247272727273,48.5743043478261,49.43400432900433,2.0,2.0,2.0,2.0
Philippines,2021-10-01,109.5,50.7491428571429,2.0,109.3,108.8,108.1,109.16666666666667,50.1421363636364,49.9429523809524,48.462,50.10647402597403,2.0,2.0,2.0,2.0
Philippines,2021-11-01,110.2,50.35705,2.0,109.5,109.4,108.1,109.39999999999999,50.7491428571429,50.2343333333333,47.95515,50.37520418470421,2.0,2.0,2.0,2.0
Philippines,2021-12-01,110.5,50.2478095238095,2.0,110.2,109.3,108.3,109.66666666666667,50.35705,50.1421363636364,48.1247272727273,50.41610974025977,2.0,2.0,2.0,2.0
Philippines,2022-01-01,111.7,51.2352857142857,2.0,110.5,109.5,108.8,110.06666666666666,50.2478095238095,50.7491428571429,49.9429523809524,50.451334126984136,2.0,2.0,2.0,2.0
Philippines,2022-02-01,111.8,51.2806666666667,2.0,111.7,110.2,109.4,110.8,51.2352857142857,50.35705,50.2343333333333,50.613381746031735,2.0,2.0,2.0,2.0
Philippines,2022-03-01,112.5,52.0739565217391,2.0,111.8,110.5,109.3,111.33333333333333,51.2806666666667,50.2478095238095,50.1421363636364,50.92125396825397,2.0,2.0,2.0,2.0
Philippines,2022-04-01,113.4,51.976,2.0,112.5,111.7,109.5,112.0,52.0739565217391,51.2352857142857,50.7491428571429,51.5299696342305,2.0,2.0,2.0,2.0
Philippines,2022-05-01,113.9,52.36175,2.25,113.4,111.8,110.2,112.56666666666666,51.976,51.2806666666667,50.35705,51.77687439613526,2.0,2.0,2.0,2.0
Philippines,2022-06-01,114.9,53.5685454545455,2.5,113.9,112.5,110.5,113.26666666666667,52.36175,52.0739565217391,50.2478095238095,52.137235507246366,2.25,2.0,2.0,2.0833333333333335
Philippines,2022-07-01,115.8,55.8925238095238,3.25,114.9,113.4,111.7,114.06666666666666,53.5685454545455,51.976,51.2352857142857,52.635431818181836,2.5,2.0,2.0,2.25
Philippines,2022-08-01,116.3,55.7500952380952,3.75,115.8,113.9,111.8,114.86666666666667,55.8925238095238,52.36175,51.2806666666667,53.94093975468977,3.25,2.25,2.0,2.6666666666666665
Philippines,2022-09-01,116.8,57.4337619047619,4.25,116.3,114.9,112.5,115.66666666666667,55.7500952380952,53.5685454545455,52.0739565217391,55.07038816738817,3.75,2.5,2.0,3.1666666666666665
Philippines,2022-10-01,117.9,58.8247,4.25,116.8,115.8,113.4,116.3,57.4337619047619,55.8925238095238,51.976,56.358793650793636,4.25,3.25,2.0,3.75
Philippines,2022-11-01,119.0,57.65225,5.0,117.9,116.3,113.9,117.0,58.8247,55.7500952380952,52.36175,57.336185714285705,4.25,3.75,2.25,4.083333333333333
Philippines,2022-12-01,119.4,55.6838947368421,5.5,119.0,116.8,114.9,117.89999999999999,57.65225,57.4337619047619,53.5685454545455,57.970237301587304,5.0,4.25,2.5,4.5
Philippines,2023-01-01,121.4,54.9912857142857,5.5,119.4,117.9,115.8,118.76666666666667,55.6838947368421,58.8247,55.8925238095238,57.386948245614036,5.5,4.25,3.25,4.916666666666667
Philippines,2023-02-01,121.4,54.7830526315789,6.0,121.4,119.0,116.3,119.93333333333334,54.9912857142857,57.65225,55.7500952380952,56.10914348370927,5.5,5.0,3.75,5.333333333333333
Philippines,2023-03-01,121.1,54.7955652173913,6.25,121.4,119.4,116.8,120.73333333333335,54.7830526315789,55.6838947368421,57.4337619047619,55.15274436090223,6.0,5.5,4.25,5.666666666666667
Philippines,2023-04-01,120.9,55.3155,6.25,121.1,121.4,117.9,121.3,54.7955652173913,54.9912857142857,58.8247,54.856634521085304,6.25,5.5,4.25,5.916666666666667
Philippines,2023-05-01,120.9,55.7278636363636,6.25,120.9,121.4,119.0,121.13333333333333,55.3155,54.7830526315789,57.65225,54.964705949656725,6.25,6.0,5.0,6.166666666666667
Philippines,2023-06-01,121.1,55.89455,6.25,120.9,121.1,119.4,120.96666666666665,55.7278636363636,54.7955652173913,55.6838947368421,55.27964295125164,6.25,6.25,5.5,6.25
Philippines,2023-07-01,121.2,54.92105,6.25,121.1,120.9,121.4,120.96666666666665,55.89455,55.3155,54.9912857142857,55.6459712121212,6.25,6.25,5.5,6.25
Philippines,2023-08-01,122.5,56.1598571428571,6.25,121.2,120.9,121.4,121.06666666666666,54.92105,55.7278636363636,54.7830526315789,55.51448787878787,6.25,6.25,6.0,6.25
Philippines,2023-09-01,123.9,56.7869,6.25,122.5,121.1,121.1,121.60000000000001,56.1598571428571,55.89455,54.7955652173913,55.658485714285696,6.25,6.25,6.25,6.25
Philippines,2023-10-01,123.7,56.7888571428571,6.5,123.9,121.2,120.9,122.53333333333335,56.7869,54.92105,55.3155,55.955935714285694,6.25,6.25,6.25,6.25
Philippines,2023-11-01,123.9,55.8122105263158,6.5,123.7,122.5,120.9,123.36666666666667,56.7888571428571,56.1598571428571,55.7278636363636,56.578538095238066,6.5,6.25,6.25,6.333333333333333
