"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2016-M01","2016-M02","2016-M03","2016-M04","2016-M05","2016-M06","2016-M07","2016-M08","2016-M09","2016-M10","2016-M11","2016-M12","2017-M01","2017-M02","2017-M03","2017-M04","2017-M05","2017-M06","2017-M07","2017-M08","2017-M09","2017-M10","2017-M11","2017-M12","2018-M01","2018-M02","2018-M03","2018-M04","2018-M05","2018-M06","2018-M07","2018-M08","2018-M09","2018-M10","2018-M11","2018-M12","2019-M01","2019-M02","2019-M03","2019-M04","2019-M05","2019-M06","2019-M07","2019-M08","2019-M09","2019-M10","2019-M11","2019-M12","2020-M01","2020-M02","2020-M03","2020-M04","2020-M05","2020-M06","2020-M07","2020-M08","2020-M09","2020-M10","2020-M11","2020-M12","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02","2022-M03","2022-M04","2022-M05","2022-M06","2022-M07","2022-M08","2022-M09","2022-M10","2022-M11","2022-M12","2023-M01","2023-M02","2023-M03","2023-M04","2023-M05","2023-M06","2023-M07","2023-M08","2023-M09","2023-M10","2023-M11","2023-M12","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04","2025-M05","2025-M06","2025-M07","2025-M08","2025-M09","2025-M10"
"IMF.STA:ER(4.0.1)","PHL.XDC_XDR.EOP_RT.M","OBS_VALUE","Philippines","Domestic currency per SDR","End-of-period (EoP)","Monthly","Units","66.01948985127909","65.69532618364856","64.95786220052013","66.29277501870878","65.61965152492918","65.68971402033361","65.60732583787459","64.79090442620027","67.35778054459065","66.65228704652677","67.3862365672915","66.96519793940826","67.68868693676558","68.05612155789719","68.10564964545549","68.13850629711182","69.03191689646389","70.21776607157021","71.20675043710603","72.31749253376939","72.18125234960411","72.76131720192217","71.28753512006283","71.09705332385809","74.92670672782695","75.23528195518619","75.90190485329051","74.72892519198137","74.64194137896838","75.28258044188885","74.82744717347725","74.88179288038589","75.69375360149122","74.09025006806969","72.76871918865535","73.32809468509004","73.32931800036421","72.70312587373481","73.27464734962123","72.20637837328479","71.9902464560746","71.39848327923094","70.16416982554205","71.61749996237067","70.94917458633887","70.39442284932368","69.74059048442789","70.1701013749435","70.09233836654997","69.95082280141116","69.66476459276464","69.12491511227045","69.59839638445612","68.57980066170957","69.54697038209362","68.9889537647301","68.2180952139654","68.32477879604063","68.79035544972863","69.18473603479687","69.33282232896965","70.00184226737057","68.68637624306808","69.48742434142031","69.20099797602141","69.24430928287978","71.92721266691622","71.26976689203142","71.79467672037284","71.85884697476662","70.68134700509888","71.06297752392258","71.36087114458813","71.54394657114641","71.82946722331276","70.11614776576867","70.51241387222383","73.05586242059868","73.75356709851281","73.19152147999311","75.39775483378834","74.80060828109261","74.6777323719213","74.68695227461163","73.55221674743995","73.4977749489414","73.21955373321654","75.08492886449904","74.6831343022052","73.63554382726064","73.65602300181163","75.4103200769238","74.90236301234765","74.77830518453101","73.76801101827","74.55255319719862","74.91904328109105","74.59187344591966","74.51880745545569","76.04057113787385","77.5858646019456","77.43171059260226","77.90529150221913","75.79907569000066","75.81033039859695","77.57301683052423","77.11854608139926","75.65806633350376","76.09384411987887","75.78736549990836","76.24319375832097","76.28413848096221","75.57273450028355","77.74251167903269","77.64451477936634","78.128956232182","79.5740112885912","80.14936909352956"
"IMF.STA:ER(4.0.1)","PHL.USD_XDC.EOP_RT.M","OBS_VALUE","Philippines","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.02091044058298308","0.02102607232968881","0.02168821028888696","0.02137985589977124","0.02137894174238375","0.02129471890971039","0.02123818625889349","0.02152064906277573","0.02072238224506289","0.02061218179944347","0.02008959961427969","0.02007508080220023","0.02007467780142129","0.01989376728271033","0.01992269992429374","0.02012112919777058","0.02005334188942587","0.01981532120635676","0.01976987861294532","0.01954422858929758","0.01957981712450806","0.01930539199598448","0.01985505807604487","0.02003084750515794","0.01944730752027382","0.01921820348233847","0.01915451950887812","0.0192437217357837","0.01897929359069255","0.01868390568364411","0.01877475921371308","0.01871467604895759","0.01843283994765073","0.01865462821325971","0.01900851581508516","0.01896669448448524","0.01910146699266504","0.0192285505518594","0.0189458527528324","0.01919164779487967","0.01913619228046003","0.01947116320729","0.01960284633328759","0.01910621142933568","0.01921524922178241","0.01959516391354614","0.01968581440214182","0.01970676336118556","0.01964482162501964","0.01963209454816734","0.01959094114881279","0.01976714305481429","0.01971336763459302","0.02005977813885378","0.02031818274173558","0.0205672446062401","0.02063344681729083","0.02066073015020351","0.02078915637603426","0.02081772004330086","0.02078094802684898","0.02056047864794292","0.02063302108694755","0.0206654267410622","0.02087639088954302","0.02059986816084377","0.01986412935521036","0.01998401278976819","0.01962361898781373","0.01969667126255663","0.01981846288001903","0.01969511954937566","0.01950344235757611","0.01949659784367628","0.01924557351809084","0.01917251428352314","0.019141320368279","0.01817487868268479","0.01794623308567532","0.01777999039880518","0.01697504668137837","0.01715618995333516","0.01760687372350166","0.01781895937277263","0.01833348611238427","0.01807925947353196","0.01837255874625659","0.01793979405116429","0.01777461784571632","0.01806293125248365","0.01823253778693456","0.01763606222002751","0.01755587156124366","0.01757376588229092","0.01807403123192597","0.01799629276369068","0.01775095411378362","0.01779771121433784","0.0177679856434676","0.01733192367020816","0.0170590242238144","0.01698715770877217","0.01705175206752494","0.01776546039190606","0.01789164817863022","0.01716620317918083","0.0170375166115787","0.01723721860240632","0.01713443679106268","0.01727205209250911","0.01742706772158517","0.01777714570148617","0.01795235445128629","0.01767377741644722","0.01745017973685129","0.01751773670841727","0.01722890320802178","0.01694829076487636"
"IMF.STA:ER(4.0.1)","PHL.XDR_XDC.EOP_RT.M","OBS_VALUE","Philippines","SDR per domestic currency","End-of-period (EoP)","Monthly","Units","0.01514704221817954","0.01522178301093356","0.01539459529799601","0.01508460008979539","0.01523933725280598","0.01522308347529812","0.01524220027609642","0.01543426517743775","0.01484609486706592","0.01500323611254251","0.01483982562227534","0.01493312990584788","0.01477351748504436","0.01469375534644996","0.01468306968960434","0.0146759894565283","0.0144860529007159","0.01424141005825704","0.01404361235222015","0.01382791306727124","0.01385401288351967","0.01374356647811734","0.01402769780601609","0.01406528053201931","0.0133463759942436","0.01329163623784448","0.01317489991763557","0.01338169922062927","0.01339729355273397","0.01328328537797541","0.01336408013067232","0.01335438110566306","0.0132111297487604","0.01349705256874231","0.01374216849148418","0.01363733783476215","0.01363711033007334","0.01375456678075607","0.01364728505930052","0.01384919203162783","0.01389077061446314","0.01400589976245181","0.01425228863230941","0.0139630676933071","0.01409459667191883","0.01420567084043658","0.01433885192330406","0.01425108387198486","0.01426689454659752","0.01429575750436815","0.01435445889820547","0.01446656387752278","0.01436814714057603","0.01458155302802351","0.01437877156267143","0.0144950741449168","0.01465886722376973","0.01463597859548356","0.01453692154172384","0.01445405529186444","0.01442318322561875","0.01428533832267615","0.01455892790822432","0.01439109320107461","0.01445065865013257","0.01444161997363217","0.01390294386397044","0.01403119504396483","0.01392860927412233","0.01391617096710656","0.01414800428078799","0.01407202505219206","0.01401328184424551","0.01397742293969702","0.01392186297151656","0.01426204992522719","0.01418189996745976","0.01368815543156249","0.01355866623595707","0.01366278470209626","0.01326299439823459","0.01336887524018666","0.01339087259666174","0.01338921952957947","0.01359578329819415","0.01360585406421753","0.01365755387752853","0.01331825194646766","0.01338990401706363","0.01358039810700481","0.01357662224004959","0.01326078445204755","0.01335071364617896","0.01337286259072457","0.01355601142278774","0.01341335684848921","0.01334774119108902","0.0134062861516009","0.01341943106909969","0.01315087439554916","0.01288894575230297","0.012914605558198","0.01283609855912695","0.01319277301071257","0.01319081442782509","0.0128910804408281","0.01296704944287321","0.01321736132657634","0.01314166752338851","0.01319481147555141","0.01311592485448398","0.0131088850174216","0.01323228551424519","0.01286297520369029","0.01287920985586151","0.01279935184374179","0.01256691706005995","0.01247670457434368"
"IMF.STA:ER(4.0.1)","PHL.EUR_XDC.EOP_RT.M","OBS_VALUE","Philippines","Euros per domestic currency","End-of-period (EoP)","Monthly","Units","0.01914875511262187","0.01931123468928069","0.01904981140877203","0.01874932552816911","0.01916706270609983","0.01918097541858259","0.01911111874281786","0.0193322395461514","0.01856677918202929","0.01883078914621183","0.01889007956208715","0.01904475932283486","0.01866543728630524","0.01877301810201975","0.01863502003956013","0.01840908435294655","0.01787126092988671","0.01736358325127651","0.01685842808300956","0.01652788887044193","0.01658463249577169","0.01658823852550651","0.01675673734158568","0.01670211582186104","0.01561154974734994","0.01573456974155762","0.01554623773141638","0.01593155206207774","0.01622300503521032","0.01602668183534406","0.01599757942545423","0.01606272083851823","0.01592332407364438","0.01648226560634362","0.01673432152045528","0.01656479867640633","0.0166273215465399","0.01684350959342975","0.01686324232561852","0.0171079049695843","0.0171609651873913","0.01710998524366433","0.01757945146918446","0.01731262362208742","0.01764647738247994","0.01756783567648031","0.0179255275925531","0.01754207171193302","0.01777490194084296","0.0178847540750363","0.01788147238847462","0.01817501200332318","0.01770237754543195","0.01791371507309679","0.01714904012638047","0.01722549799517596","0.01762337445959244","0.0176617628228787","0.01735321901171474","0.01696497436500763","0.01712339158441742","0.01696269173165822","0.017597459349209","0.01710430950261728","0.01711039331984511","0.01733411996031956","0.016705179846279","0.0168869467549165","0.01694759390950318","0.01691427330404176","0.01744122404296315","0.01738929856028224","0.01748246894727152","0.01740923104176826","0.01733679264759106","0.01819024125571456","0.01786737642889854","0.01749771703348878","0.01759779671080145","0.01777999039880518","0.01741387636579645","0.01730501306570018","0.01696884514601162","0.01670631855688415","0.0169237386803141","0.01702538795887745","0.01689430689310951","0.01633712234875175","0.01663822694534898","0.01662334921082611","0.01654044977495651","0.01622751400444195","0.01657152308971461","0.01654936046924467","0.01653465486408011","0.01628623779519519","0.01637995212123615","0.0164397849753721","0.01643509910597318","0.01617085619537988","0.01571970532972208","0.01586843317026826","0.01574783161020035","0.01602368575079468","0.01598039315704735","0.01577486048445215","0.01613095683732124","0.01659179767292936","0.01648651668532924","0.01659019507492951","0.01611379354746664","0.01563100826649624","0.01583239655285853","0.01508001486044984","0.01524565764184107","0.01502636533574993","0.01467413611108234","0.01466876472639464"
"IMF.STA:ER(4.0.1)","PHL.XDC_USD.EOP_RT.M","OBS_VALUE","Philippines","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","47.823","47.56","46.108","46.773","46.775","46.96","47.085","46.467","48.257","48.515","49.777","49.813","49.814","50.267","50.194","49.699","49.867","50.466","50.582","51.166","51.073","51.799","50.365","49.923","51.421","52.034","52.207","51.965","52.689","53.522","53.263","53.434","54.251","53.606","52.608","52.724","52.352","52.006","52.782","52.106","52.257","51.358","51.013","52.339","52.042","51.033","50.798","50.744","50.904","50.937","51.044","50.589","50.727","49.851","49.217","48.621","48.465","48.401","48.102","48.036","48.121","48.637","48.466","48.39","47.901","48.544","50.342","50.04","50.959","50.77","50.458","50.774","51.273","51.291","51.96","52.158","52.243","55.021","55.722","56.243","58.91","58.288","56.796","56.12","54.545","55.312","54.429","55.742","56.26","55.362","54.847","56.702","56.961","56.903","55.328","55.567","56.335","56.187","56.281","57.697","58.62","58.868","58.645","56.289","55.892","58.254","58.694","58.014","58.362","57.897","57.382","56.252","55.703","56.581","57.306","57.085","58.042","59.003"
"IMF.STA:ER(4.0.1)","PHL.XDC_EUR.EOP_RT.M","OBS_VALUE","Philippines","Domestic currency per Euro","End-of-period (EoP)","Monthly","Units","52.222716","51.783328","52.493958","53.3352519","52.172835","52.134992","52.3255605","51.7270644","53.8596377","53.104519","52.9378395","52.5078833","53.574957","53.2679399","53.6624054","54.321007","55.9557607","57.5917992","59.3175114","60.503795","60.2967838","60.2836762","59.6774885","59.8726539","64.0551397","63.5543276","64.3242447","62.7685235","61.6408611","62.3959476","62.5094568","62.2559534","62.8009576","60.6712708","59.7574272","60.36898","60.1419776","59.3700496","59.300577","58.4525108","58.2717807","58.445404","56.8845963","57.7613204","56.6685338","56.9222082","55.7863636","57.0058096","56.2591008","55.9135449","55.9238064","55.0205964","56.4895872","55.8231498","58.3123016","58.053474","56.742822","56.6194898","57.626196","58.9449756","58.3996456","58.9529077","56.826385","58.464798","58.4440101","57.6896896","59.8616722","59.217336","59.0054261","59.121665","57.3354254","57.5066324","57.2001588","57.4407909","57.680796","54.974532","55.9679259","57.1503127","56.8252956","56.243","57.42546799999997","57.78672320000002","58.9315296","59.857592","59.0885985","58.7358128","59.1915375","61.2102902","60.102558","60.1563492","60.4578481","61.6237336","60.3444834","60.4252957","60.4790368","61.401535","61.0502395","60.8280462","60.8453891","61.8396446","63.614424","63.018194","63.500806","62.4076143","62.5766832","63.3920028","61.9926028","60.2707446","60.6556266","60.2765667","62.058633","63.9753996","63.1616317","66.312932","65.5924476","66.549693","68.1471122","68.1720662"
"IMF.STA:ER(4.0.1)","PHL.XDC_XDR.PA_RT.M","OBS_VALUE","Philippines","Domestic currency per SDR","Period average","Monthly","Units","65.65395614322631","66.35802899702621","65.18661838103874","65.20528858555777","66.04982006692782","65.40807985534499","65.42019366237824","65.31856700390445","66.35556640326771","66.73781878236292","67.20577288722579","67.10731597287225","67.21945342031982","67.71266761342465","68.11228026525288","67.86971248256857","68.54076110055287","68.97044228009324","70.66587653458724","71.79334520659238","72.44980476498118","72.37838509003239","71.87620944520943","71.31593213500258","72.65009979083184","75.15700883359318","75.64511991239635","75.56914615116432","74.33801171808721","75.00955726908289","75.08439924416753","74.33378137777952","75.53252859686515","75.11882750367958","73.11435217806828","73.09799443199069","73.14191398175869","72.64731159068395","72.92777562840379","72.293694546928","72.20909759495843","71.76993416714153","70.64259700034289","71.46286139893445","71.29672536528291","70.66273217818813","69.75694377913608","70.00195231461698","70.14417245256486","69.47815420915057","69.84466512964618","69.18007933543271","68.94287906968975","69.11560370243293","68.86627362279129","68.96171452389629","68.49131953485761","68.55060034788498","68.59552481279853","69.0947763578117","69.33827168356141","69.41299093791946","69.33662933557461","69.24905878841922","69.06605407815896","69.08182361670113","71.08064673559774","71.42107202567176","71.23476307173371","71.69044356344682","70.70585198326878","70.23469100613949","71.71638110930556","71.84667194950203","71.98291605682986","70.92149068681355","70.26550298140165","71.68915797658148","73.60047242164754","73.28946352547043","74.11328036723562","75.35311422028128","74.97239998015793","73.99364239495269","73.92801164992684","73.32553667274212","73.22931048330808","74.61755803891749","74.74347979919903","74.54708812776551","73.87144266401744","74.85614947677082","74.90420915605609","74.47722366705371","73.86040145575434","74.1484461033825","74.63711523112168","74.35798217209339","74.24466061596961","75.15237120625036","76.37380991249389","77.45141445420393","77.44198937865231","76.63938592041984","75.68332095274093","76.55705612686546","77.39277577717913","76.685916424327","76.00200456233856","75.98172939772889","76.27808369296537","76.64781500177883","75.26482278796627","76.90498988863445","77.67183341462613","78.20724481021766","78.50104092254862","79.53730509778824"
"IMF.STA:ER(4.0.1)","PHL.XDR_XDC.PA_RT.M","OBS_VALUE","Philippines","SDR per domestic currency","Period average","Monthly","Units","0.01523137460016067","0.01506976646405237","0.01534057180500832","0.01533617934514423","0.01514008666468292","0.01528863104086799","0.0152858000567962","0.01530958264807347","0.01507032573458305","0.01498400784210637","0.01487967412677544","0.01490150493284882","0.014876645808871","0.01476828539246238","0.0146816403166309","0.01473411280852025","0.01458985841334542","0.01449896458455258","0.01415110162131156","0.01392886760078392","0.01380265969306453","0.01381627952538714","0.01391280936653025","0.01402211217133051","0.01376460600713719","0.01330547896356709","0.01321962343582887","0.01323291384025506","0.01345206815313154","0.0133316344797595","0.01331834588897878","0.0134528337112005","0.01323932904904104","0.01331224186041797","0.01367720523002821","0.01368026589197855","0.01367205129810243","0.0137651342920202","0.01371219664089853","0.0138324650063481","0.01384867050422493","0.01393341113663485","0.01415576496989693","0.0139932823906616","0.01402588961662099","0.01415173131826165","0.0143354904304035","0.01428531586527183","0.01425635181135328","0.0143930133346619","0.01431748578282669","0.0144550282336525","0.01450476123849088","0.01446851284559928","0.01452089604088946","0.01450079956543837","0.01460039033838537","0.01458776429272882","0.01457821049884905","0.0144728741116613","0.01442204969520575","0.0144065251545545","0.01442239130431639","0.01444062948285492","0.01447889289966305","0.01447558775443562","0.01406852703127126","0.01400147003730996","0.01403808978760827","0.01394886054952344","0.01414310091669119","0.01423797820812775","0.01394381568802061","0.01391852917979078","0.01389218518475285","0.01410009843724182","0.0142317347427896","0.01394911069155907","0.0135868693107176","0.01364452612826765","0.0134928584329953","0.01327085164757331","0.01333824180984814","0.01351467460761484","0.0135266724707182","0.01363781358277788","0.0136557342053349","0.01340167148700364","0.01337909343646476","0.01341434018571067","0.01353703087332687","0.01335895590395439","0.01335038459476411","0.01342692370583582","0.01353905449050456","0.01348645929283179","0.01339815984183465","0.01344845530753658","0.01346898203458022","0.01330630004016202","0.01309349371395457","0.01291132004556596","0.01291289141747772","0.01304812124980192","0.01321295085114502","0.01306215325655762","0.01292110264760488","0.01304020407693493","0.01315754769572923","0.01316105869037893","0.01310992557213683","0.01304668632728529","0.01328641937837506","0.01300305742771818","0.01287467999708236","0.01278653918095004","0.01273868458619076","0.01257271664875414"
"IMF.STA:ER(4.0.1)","PHL.XDC_USD.PA_RT.M","OBS_VALUE","Philippines","Domestic currency per US Dollar","Period average","Monthly","Units","47.5111","47.6361052631579","46.7239523809524","46.2845238095238","46.8022857142857","46.4644545454546","47.0581","46.6808636363636","47.429380952381","48.3482","49.155","49.8156","49.7362857142857","49.9614","50.2751739130435","49.8626470588235","49.8603181818182","49.8501","50.6381904761905","50.8747142857143","51.0094210526316","51.3433","51.03835","50.3947368421053","50.5086666666667","51.7856315789474","52.0676","52.0986","52.1948095238095","53.0476315789474","53.4329090909091","53.2735238095238","53.9419","54.0085652173913","52.8082631578947","52.7690588235294","52.4679090909091","52.1900555555556","52.4134286","52.1122222222222","52.262","51.8029444444444","51.1428695652174","52.0547368421053","52.1051904761905","51.5041739130435","50.72675","50.7671111111111","50.8385714285714","50.7447894736842","50.9035714285714","50.7349","50.5555789473684","50.0972380952381","49.4675454545455","48.8433157894737","48.5056818181818","48.4821818181818","48.2520555555556","48.0637222222222","48.0614","48.2041666666667","48.5743043478261","48.462","47.95515","48.1247272727273","49.9429523809524","50.2343333333333","50.1421363636364","50.7491428571429","50.35705","50.2478095238095","51.2352857142857","51.2806666666667","52.0739565217391","51.976","52.36175","53.5685454545455","55.8925238095238","55.7500952380952","57.4337619047619","58.8247","57.65225","55.6838947368421","54.9912857142857","54.7830526315789","54.7955652173913","55.3155","55.7278636363636","55.89455","54.92105","56.1598571428571","56.7869","56.7888571428571","55.8122105263158","55.5876666666667","55.9722727272727","56.0649","55.8492631578947","56.95055","57.7618636363636","58.6962777777778","58.4844782608696","57.19345","56.0712857142857","57.3008695652174","58.69465","58.448","58.390619047619","58.09415","57.4245714285714","56.8528888888889","55.6246","56.3585789473684","56.752347826087","57.2525263157895","57.2500909090909","58.2984090909091"
"IMF.STA:ER(4.0.1)","PHL.EUR_XDC.PA_RT.M","OBS_VALUE","Philippines","Euros per domestic currency","Period average","Monthly","Units","0.01938157588940471","0.01892415972923459","0.01928192950050424","0.01905382400430915","0.01888984714155906","0.01916644604627357","0.01919888061810768","0.01910680773542034","0.01880467938876298","0.01875857423376021","0.01883868508757572","0.01904032473703346","0.01894221793587366","0.01880683093861877","0.01861590964514276","0.01870345609194854","0.01813794189702039","0.01786385992251101","0.01715549992483817","0.01664822931023138","0.01645398815650735","0.01656767938152424","0.01669203432184115","0.0167649451591241","0.01622901137054683","0.01563871755949528","0.01556866499884472","0.01563530847663206","0.01621962796975686","0.01614190938699705","0.01601531312428847","0.01625346009130104","0.01590097054829147","0.01612287666974406","0.01665932750574812","0.01664630061360883","0.01669462698580573","0.01687999750659441","0.01688044259447121","0.01707503953347145","0.01710778842237718","0.01709310041328083","0.0174294757117016","0.01726600322896904","0.01744103241354196","0.01756687406810863","0.01783870214052036","0.01772428192538803","0.01772023412558728","0.01807102867372872","0.01775672115064341","0.01814627094653482","0.01814390275779917","0.01773603360468496","0.0176346368687932","0.01730932165371176","0.01748255283781826","0.01751661652098259","0.01750690355141878","0.01709628516738306","0.01709553406141022","0.01714768236594312","0.01730134124621797","0.01722560468961658","0.01716859969976169","0.01724842843287825","0.01693719595823263","0.01691047517627157","0.01694372769733165","0.01698470606494705","0.01739803185942743","0.01760593398956125","0.01725028937251317","0.01719335077387023","0.01742765501649146","0.01778363717464961","0.01805351440296369","0.01766798463267158","0.01757701925842923","0.01770973449868234","0.01758053434701381","0.01730128070027288","0.01700314977390685","0.0169598989405198","0.01688615414052368","0.01703560427102885","0.01704646789344892","0.0164830173220542","0.01651193448258939","0.0165046651256873","0.01646565350857556","0.01632278486296839","0.01648259935235725","0.01667125446021537","0.01657739584388174","0.01649960118318983","0.01638309531043864","0.01652333835655775","0.01646891998277012","0.0163678995565542","0.01601192831445275","0.01583498043572816","0.01576762884935156","0.01587743458299277","0.01605838316452653","0.01600438872408093","0.01602737438489629","0.01632754411955498","0.01654094049682915","0.01653151227208703","0.0161140512477473","0.01568515616787413","0.0159403985287848","0.01540746275260463","0.0150900173158648","0.01501662331846238","0.01488823968842361","0.01474848280630399"
"IMF.STA:ER(4.0.1)","PHL.XDC_EUR.PA_RT.M","OBS_VALUE","Philippines","Domestic currency per Euro","Period average","Monthly","Units","51.5953917115","52.84250472982275","51.86202967777936","52.48290315759416","52.93849084675366","52.17451360495832","52.08637002809614","52.33736654743181","53.17825310000049","53.30895554952565","53.08226106818405","52.52011264571547","52.79212832337616","53.172169371","53.71749321209876","53.46605435294281","55.13304682954547","55.97894320363863","58.2903444598647","60.06644799068435","60.77553906616325","60.35848334409278","59.90881523","59.64827146814515","61.61804790000004","63.94386216105267","64.23158312380704","63.957804318","61.65369525519335","61.95053980451283","62.44024030247789","61.52536102360178","62.889242953","62.02367111550165","60.0264326189014","60.07340749226116","59.89951143264416","59.2417149119445","59.24015288127138","58.56501813888886","58.45290900909138","58.50313727888884","57.37407232098389","57.91728327272589","57.33605536009197","56.92532411417615","56.05788986904568","56.41977509777776","56.43266296104078","55.33719292105262","56.31670349025925","55.107741031","55.11493383473682","56.3823920437234","56.70658304110763","57.77233909022442","57.19988432334665","57.08865058512483","57.12032382328162","58.49223911565523","58.494809019","58.31691879166671","57.79898712873474","58.05311442","58.24586847428686","57.97629644297568","59.04165025108137","59.13494384848389","59.0188899316107","58.87649725442085","57.47776576567953","56.79903154203071","57.97004203265207","58.1620193266667","57.38006628279702","56.23146661052495","55.3908772375","56.59955115371808","56.89246767596504","56.46612037432878","56.88109247770718","57.79918939666864","58.81263255909248","58.96261549123072","59.22011558571427","58.7005887252631","58.66317915539014","60.6685038583321","60.56225580681814","60.58893000159294","60.73248167642936","61.26405563726484","60.67004230476461","59.98348848830906","60.32310559617074","60.60752553333366","61.03852666735331","60.52045769571268","60.72043589052628","61.09519407452435","62.45343973326285","63.15132526111113","63.42107678676905","62.98246702091013","62.2727699142857","62.48286124763731","62.39325144500084","61.246198","60.45605449047455","60.4905336875","62.0576405414993","63.75454533555557","62.73368875904974","64.90361301252862","66.26897630850666","66.59286703759407","67.16710779297518","67.80358448616604"
"IMF.STA:ER(4.0.1)","PHL.USD_XDC.PA_RT.M","OBS_VALUE","Philippines","US Dollar per domestic currency","Period average","Monthly","Units","0.02104771306073739","0.02099248027259288","0.021402299014577","0.02160549396846627","0.02136647782770073","0.02152182802494182","0.02125032672377338","0.02142205439449104","0.02108397748231203","0.02068329327668869","0.02034381039568711","0.02007403303382876","0.0201060450260517","0.0200154519288891","0.01989053288467209","0.02005509251886065","0.0200560292526303","0.02006014030062126","0.01974794104205182","0.01965613004495637","0.01960422171755681","0.01947673795801984","0.01959310988697715","0.01984334203655351","0.01979858242149861","0.01931037566811358","0.01920580168857408","0.01919437374516782","0.01915899318578477","0.01885098297954667","0.01871505813577604","0.01877105039222557","0.01853846453313658","0.01851558166699807","0.01893643040313668","0.01895049906696661","0.01905926912900872","0.01916073836969791","0.01907908005087078","0.01918935630370355","0.0191343614863572","0.01930392202073457","0.0195530678763498","0.01921054760171478","0.01919194596279138","0.01941590213034654","0.0197134647892877","0.01969779209637036","0.01967010425155254","0.01970645676870117","0.01964498702027644","0.01971029803941665","0.01978021062801129","0.01996118025706198","0.02021527429370586","0.02047363050269228","0.0206161415016985","0.02062613443739406","0.0207245056917552","0.02080571278638198","0.02080671807313145","0.02074509464949432","0.02058701639532083","0.0206347241137386","0.02085281768485762","0.02077933853698343","0.02002284511280489","0.01990670391432156","0.01994330661836759","0.01970476630147165","0.01985819264631268","0.01990136504410523","0.01951779883841215","0.01950052651421587","0.0192034572902586","0.01923964906880099","0.01909791021117514","0.01866767132679624","0.01789148050297212","0.01793718908872247","0.01741136165968416","0.01699966170673204","0.0173453768066294","0.01795851394242312","0.01818469939392995","0.01825382033245012","0.01824965206641604","0.0180781155372364","0.01794434479895402","0.01789083193263028","0.01820795487340464","0.01780631310112207","0.01760969519378589","0.0176090883020311","0.01791722618706338","0.01798960201003819","0.01786598884187789","0.017836471660522","0.01790533918366733","0.0175590929323773","0.01731246080104757","0.01703685545079992","0.01709855383405332","0.01748451964342071","0.01783444034252317","0.01745174213912832","0.0170373279336362","0.01710922529427868","0.01712603867385744","0.01721343715331062","0.01741414824913179","0.01758925570087321","0.01797765736742377","0.01774352758137976","0.01762041639342251","0.0174664781512744","0.01746722117154241","0.01715312674211443"
